ID,X,Y,Z,RX,RY,RZ
9255,14.9968,-3.63932,1.77541,87.9441,-6.3981,58.6135
9277,-7.38704,-3.07077,0.936211,97.5494,-1.37131,-71.8345
9258,13.299,-3.37784,1.50513,75.0562,-4.5603,59.4279
9305,1.94309,15.7018,1.95608,92.7092,5.28784,-161.652
9257,15.2572,-3.44364,1.83391,93.3358,-6.91721,26.824
9307,1.57182,15.6742,1.92219,90.3585,4.68106,167.792
9253,14.7071,-3.91147,1.74005,85.1662,-2.64388,95.7961
9236,15.2866,-3.32368,1.80271,89.4095,-7.83966,14.5428
9303,2.21347,15.802,2.00936,94.5416,4.71771,-131.62
9326,4.99188,1.60054,5.02732,62.2393,-8.49394,-67.1647
9238,15.6097,-3.15794,1.8009,91.1215,-5.46912,-4.72871
9275,-7.44503,-2.56767,0.927067,97.247,-4.6255,-34.0988
9340,5.14375,1.60019,4.84618,57.8874,-9.3566,-46.0646
9309,1.34886,15.8269,1.90302,87.2346,2.62141,136.966
9273,-7.57609,-2.41807,0.898786,94.1074,-4.71905,-6.91091
9322,3.84143,1.53617,4.83153,72.4103,-1.97201,64.5472
9279,-7.46846,-3.46337,0.910019,97.6134,2.78867,-107.423
9251,14.8276,-4.22045,1.74826,85.7215,0.224944,128.71
9281,-7.72799,-3.78126,0.823636,94.4623,4.80436,-141.774
9283,-8.11879,-3.85294,0.874852,91.7109,4.91842,-175.481
9311,1.19888,16.1214,1.89823,90.3427,0.598584,107.117
9249,14.9702,-4.4867,1.71433,87.3721,0.617669,158.187
9214,3.70201,1.65593,4.77331,78.8663,-7.593,38.5856
9313,1.24287,16.4487,1.93914,88.7208,-3.44305,73.3266
9315,1.54565,16.7006,1.97146,91.6633,-6.26438,34.046
9271,-7.81357,-2.36736,0.845069,89.1722,-6.96927,16.6782
9285,-8.51436,-4.08675,0.766152,89.1528,3.38439,153.309
9287,-8.56291,-3.69898,0.807014,84.7554,0.583279,121.451
9289,-8.74927,-3.3513,0.818044,85.5855,-2.02129,89.96
9291,-8.74497,-3.15742,0.802923,89.7437,-5.86239,63.0796
9293,-8.39015,-2.76223,0.800665,90.2404,-7.34359,26.9292
9301,2.41592,16.0088,2.03714,98.5362,2.1314,-105.818
9205,5.14272,1.5738,4.84578,77.6392,3.79232,-56.034
9299,2.48579,16.2932,2.06209,100.502,-0.273357,-73.4029
9204,5.0553,1.69584,4.85494,80.9107,3.29205,-23.1409
9297,2.42089,16.7116,2.06087,101.754,-6.4452,-40.7796
9295,2.23003,16.9305,1.99548,93.0277,-8.67816,-9.98534
9190,3.82564,4.18553,1.46657,152.86,1.80168,-171.485
9196,3.70499,4.15347,1.55078,154.36,0.523071,-159.513
9240,15.8521,-3.3615,1.83998,93.4838,-4.17433,-38.2053
9242,15.9903,-3.58488,1.865,95.5038,-1.75587,-67.0001
9244,15.9766,-3.94204,1.85145,95.0686,0.781741,-103.207
9246,15.6909,-4.13776,1.83837,93.2311,2.41412,-130.754
9247,15.4953,-4.37991,1.80878,91.2396,4.02195,-155.085
9304,2.06905,15.6982,1.96596,93.6555,5.03276,-148.572
